,hour,total,served,notserved,serverate
0,0,19313,6748,12565,0.34940195723088074
1,1,10052,7297,2755,0.725925189017111
2,2,6070,5464,606,0.900164744645799
3,3,3725,3443,282,0.9242953020134228
4,4,2567,2310,257,0.8998831320607713
5,5,1887,1779,108,0.9427662957074722
6,6,2728,2498,230,0.9156891495601173
7,7,8707,5416,3291,0.6220282531296658
8,8,15405,7455,7950,0.48393378773125606
9,9,21036,8299,12737,0.3945141661912911
10,10,22339,8741,13598,0.3912887774743722
11,11,19942,9037,10905,0.4531641761107211
12,12,18397,9295,9102,0.5052454204489862
13,13,19389,9358,10031,0.4826447985971427
14,14,19485,9484,10001,0.4867333846548627
15,15,19383,8991,10392,0.4638600835783934
16,16,17988,9365,8623,0.5206248610184567
17,17,14773,9531,5242,0.6451634739050971
18,18,19137,9145,9992,0.4778700945811778
19,19,25012,8638,16374,0.34535422996961457
20,20,26576,8350,18226,0.31419325707405177
21,21,24209,7859,16350,0.3246313354537569
22,22,22763,7361,15402,0.32337565347274083
23,23,22186,7103,15083,0.32015685567474983
